Código upz,Nombre upz,Mes,Total Homicidios 2019,Total Lesiones Personales 2019,Total Hurto Personas 2019,Total Hurto Residencias 2019,Total Hurto Automotores 2019,Total Hurto Bicicletas 2019,Total Hurto Comercio 2019,Total Hurto Celulares 2019,Total Hurto Motocicletas 2019,Total Delitos Sexuales 2019,Total Violencia intrafamiliar 2019,coord_x,coord_y
UPZ117,Aeropuerto El Dorado,Ene-Sep,0,22,277,0,1,8,32,284,0,2,10,"-74,1423960785283","4,69892844961289"
UPZ92,La Macarena,Ene-Sep,0,38,414,15,1,10,36,206,1,13,25,"-74,06464877575284","4,610507804301579"
UPZ33,Sosiego,Ene-Sep,4,142,434,43,24,12,76,208,28,37,162,"-74,0855202216491","4,578078864867"
UPZ41,Muzu,Ene-Sep,1,127,614,52,65,28,125,298,25,17,174,"-74,12644813473177","4,599024996502991"
UPZ88,El Refugio,Ene-Sep,0,31,739,65,3,34,150,293,2,7,20,"-74,0466675219965","4,666004720343619"
UPZ104,Parque Simon Bolivar - Can,Ene-Sep,0,38,757,14,8,60,65,387,4,39,16,"-74,09133293395634","4,647745255618484"
UPZ49,Apogeo,Ene-Sep,3,76,496,31,13,17,25,275,12,12,163,"-74,16507646835997","4,600309348354419"
UPZ95,Las Cruces,Ene-Sep,9,98,439,24,4,14,48,196,2,36,93,"-74,0821650988828","4,590334354544646"
UPZ60,Parque Entrenubes,Ene-Sep,0,15,14,2,0,0,0,8,0,3,11,"-74,10090143686016","4,527282639506585"
UPZ100,Galerias,Ene-Sep,2,88,"1,573",112,21,88,199,785,10,33,78,"-74,07275430377192","4,64354357790438"
UPZ13,Los Cedros,Ene-Sep,1,75,"1,877",131,13,126,173,759,7,29,145,"-74,0361680419909","4,723784900832041"
UPZ12,Toberin,Ene-Sep,3,72,740,47,13,59,112,318,8,29,124,"-74,03942960512425","4,7421264557264635"
UPZ43,San Rafael,Ene-Sep,5,178,851,85,73,44,181,381,43,27,236,"-74,11735282808324","4,62043383109662"
UPZ116,Alamos,Ene-Sep,2,26,565,23,16,65,83,266,7,9,34,"-74,11723712721977","4,6855762431112655"
UPR1,Upr Zona Norte,Ene-Sep,3,20,88,10,2,5,25,45,0,7,10,"-74,07945930008444","4,792803382410904"
UPZ109,Ciudad Salitre Oriental,Ene-Sep,0,24,658,16,4,31,123,282,2,3,15,"-74,10179383349357","4,6432626056418345"
UPZ27,Suba,Ene-Sep,3,150,"1,225",111,30,135,232,547,42,63,455,"-74,08773971545139","4,7502725683426075"
UPZ72,Bolivia,Ene-Sep,1,60,817,44,48,92,69,408,16,27,149,"-74,11588357228409","4,725173436698844"
UPZ24,Niza,Ene-Sep,4,145,846,95,24,61,131,334,14,47,190,"-74,07363634691983","4,717498091647937"
UPZ110,Ciudad Salitre Occidental,Ene-Sep,2,56,999,33,6,55,144,465,7,11,58,"-74,11169510295835","4,655403570690394"
UPZ68,El Tesoro,Ene-Sep,18,160,148,46,11,5,41,68,9,39,197,"-74,14154694251133","4,538584070768937"
UPZ112,Granjas De Techo,Ene-Sep,3,71,"1,165",26,23,105,262,558,18,11,75,"-74,12606849820034","4,653265862536437"
UPZ64,Monte Blanco,Ene-Sep,0,11,2,5,1,0,1,1,0,6,24,"-74,13227399895104","4,499149747203315"
UPZ81,Gran Britalia,Ene-Sep,6,169,385,67,21,39,55,163,54,26,330,"-74,17497362243722","4,619883695337293"
UPZ106,La Esmeralda,Ene-Sep,0,42,451,54,7,54,65,165,6,3,42,"-74,08637185000357","4,648285213937389"
UPZ111,Puente Aranda,Ene-Sep,1,118,709,26,13,25,235,323,17,16,58,"-74,10873395375037","4,63350306736077"
UPZ63,El Mochuelo,Ene-Sep,2,15,17,1,3,2,5,10,0,2,7,"-74,13001136168336","4,537986445102946"
UPZ94,La Candelaria,Ene-Sep,1,208,"1,225",30,29,25,230,459,3,165,128,"-74,07207052195602","4,596605054419337"
UPZ20,La Alhambra,Ene-Sep,1,37,885,62,2,38,78,410,4,6,38,"-74,06140753478289","4,698250774226756"
UPZ89,San Isidro - Patios,Ene-Sep,1,24,35,6,2,6,6,16,1,6,79,"-74,01946491721635","4,667742395862741"
UPZ65,Arborizadora,Ene-Sep,7,114,552,36,25,48,70,244,46,32,284,"-74,15279144614838","4,583175023336833"
UPZ115,Capellania,Ene-Sep,1,30,681,19,13,45,65,326,13,6,52,"-74,12716203367326","4,6792078157740775"
UPZ21,Los Andes,Ene-Sep,0,136,957,49,9,85,163,441,5,14,52,"-74,06747776307984","4,682615141021718"
UPZ107,Quinta Paredes,Ene-Sep,0,46,835,42,8,44,101,387,3,8,29,"-74,08954090162634","4,630724808762616"
UPZ54,Marruecos,Ene-Sep,8,324,529,71,21,12,62,239,38,69,356,"-74,11572574473983","4,557628887267556"
UPZ45,Carvajal,Ene-Sep,10,272,"1,219",116,67,62,194,550,58,75,334,"-74,14149443391054","4,606947524289649"
UPZ53,Marco Fidel Suarez,Ene-Sep,12,218,425,57,18,10,54,223,27,53,244,"-74,11571540005959","4,570019806439839"
UPZ15,Country Club,Ene-Sep,0,31,509,41,4,22,109,225,1,8,29,"-74,04342707251688","4,71041920855171"
UPZ74,Engativa,Ene-Sep,18,188,430,158,27,68,62,205,73,68,505,"-74,13986150067015","4,7139296729712195"
UPZ23,Casa Blanca Suba,Ene-Sep,0,25,480,42,5,43,243,196,5,11,99,"-74,06951639667398","4,744020128928238"
UPZ97,Chico Lago,Ene-Sep,3,155,"5,217",70,5,185,738,"2,471",9,21,47,"-74,05422027648247","4,67150205594168"
UPZ86,El Porvenir,Ene-Sep,15,220,532,113,41,80,59,249,74,76,606,"-74,19210462193519","4,641606320243343"
UPZ101,Teusaquillo,Ene-Sep,1,95,"1,678",116,26,99,189,927,14,22,59,"-74,07392427349725","4,62796049011299"
UPZ39,Quiroga,Ene-Sep,7,206,995,76,44,59,155,492,73,50,249,"-74,11846044982715","4,582596217177482"
UPZ84,Bosa Occidental,Ene-Sep,18,417,886,234,40,122,145,407,125,114,863,"-74,1898618651784","4,623847346838228"
